ALCOHOLIC BEVERAGE CONTROL LAW,846
FELONY ASSAULT,204877
OTHER OFFENSES RELATED TO THEF,11459
OTHER STATE LAWS (NON PENAL LAW),8
PROSTITUTION & RELATED OFFENSES,971
OFFENSES INVOLVING FRAUD,18982
THEFT OF SERVICES,3264
HARRASSMENT 2,669989
JOSTLING,348
ESCAPE 3,175
UNLAWFUL POSS. WEAP. ON SCHOOL,62
OTHER STATE LAWS (NON PENAL LA,5747
DISRUPTION OF A RELIGIOUS SERV,50
UNAUTHORIZED USE OF A VEHICLE,15629
POSSESSION OF STOLEN PROPERTY,31186
NYS LAWS-UNCLASSIFIED FELONY,4443
LOITERING,21
SEX CRIMES,61229
BURGLARY,204365
OFF. AGNST PUB ORD SENSBLTY &,305816
LOITERING FOR DRUG PURPOSES,23
UNDER THE INFLUENCE OF DRUGS,3
ROBBERY,214252
VEHICLE AND TRAFFIC LAWS,65715
MISCELLANEOUS PENAL LAW,132596
FORGERY,55585
KIDNAPPING,9
GAMBLING,2291
OFFENSES AGAINST THE PERSON,13566
MURDER & NON-NEGL. MANSLAUGHTER,4908
INTOXICATED & IMPAIRED DRIVING,79694
CRIMINAL MISCHIEF & RELATED OF,554623
AGRICULTURE & MRKTS LAW-UNCLASSIFIED,222
DANGEROUS WEAPONS,134706
DANGEROUS DRUGS,371117
ANTICIPATORY OFFENSES,97
FORTUNE TELLING,11
PETIT LARCENY,903730
HOMICIDE-NEGLIGENT-VEHICLE,94
OFFENSES AGAINST PUBLIC SAFETY,866
PETIT LARCENY OF MOTOR VEHICLE,948
ADMINISTRATIVE CODES,19
ADMINISTRATIVE CODE,12385
FRAUDS,35448
ARSON,14760
CRIMINAL TRESPASS,70471
OFFENSES AGAINST MARRIAGE UNCL,3
OFFENSES AGAINST PUBLIC ADMINI,109050
KIDNAPPING AND RELATED OFFENSES,2
OTHER STATE LAWS,252
"LOITERING/GAMBLING (CARDS, DIC",217
KIDNAPPING & RELATED OFFENSES,2436
ABORTION,4
DISORDERLY CONDUCT,902
OTHER TRAFFIC INFRACTION,13
FRAUDULENT ACCOSTING,2857
RAPE,15224
LOITERING/DEVIATE SEX,16
ASSAULT 3 & RELATED OFFENSES,574018
ENDAN WELFARE INCOMP,176
CHILD ABANDONMENT/NON SUPPORT,388
NYS LAWS-UNCLASSIFIED VIOLATION,20
INTOXICATED/IMPAIRED DRIVING,49
OFFENSES RELATED TO CHILDREN,1453
GRAND LARCENY OF MOTOR VEHICLE,108262
BURGLAR'S TOOLS,2740
NEW YORK CITY HEALTH CODE,79
GRAND LARCENY,473401
THEFT-FRAUD,61552
"HOMICIDE-NEGLIGENT,UNCLASSIFIE",36
