YEAR,MONTH,Unemployment Rate,Labor Force,Employed,Unemployed
1976,1,11.1,"3,117,214","2,771,118","346,096"
1976,2,11.1,"3,114,687","2,769,985","344,702"
1976,3,11,"3,112,593","2,768,803","343,790"
1976,4,11,"3,111,581","2,767,859","343,722"
1976,5,11.1,"3,112,014","2,767,219","344,795"
1976,6,11.1,"3,112,035","2,765,976","346,059"
1976,7,11.1,"3,109,967","2,763,240","346,727"
1976,8,11.2,"3,104,980","2,758,669","346,311"
1976,9,11.1,"3,097,173","2,752,964","344,209"
1976,10,11,"3,088,170","2,747,326","340,844"
1976,11,10.9,"3,080,225","2,743,003","337,222"
1976,12,10.8,"3,074,144","2,741,013","333,131"
1977,1,10.7,"3,070,119","2,741,496","328,623"
1977,2,10.5,"3,066,351","2,743,349","323,002"
1977,3,10.3,"3,061,382","2,745,008","316,374"
1977,4,10.1,"3,056,194","2,746,073","310,121"
1977,5,10,"3,052,350","2,746,718","305,632"
1977,6,10,"3,050,944","2,747,010","303,934"
1977,7,10,"3,051,996","2,747,387","304,609"
1977,8,10,"3,054,898","2,748,358","306,540"
1977,9,10.1,"3,058,442","2,749,963","308,479"
1977,10,10.1,"3,060,806","2,751,823","308,983"
1977,11,10,"3,060,810","2,753,840","306,970"
1977,12,9.9,"3,059,018","2,755,931","303,087"
1978,1,9.7,"3,056,444","2,758,614","297,830"
1978,2,9.6,"3,053,710","2,761,846","291,864"
1978,3,9.4,"3,051,072","2,765,167","285,905"
1978,4,9.2,"3,048,318","2,767,981","280,337"
1978,5,9,"3,045,717","2,770,095","275,622"
1978,6,8.9,"3,043,973","2,772,015","271,958"
1978,7,8.9,"3,044,122","2,774,486","269,636"
1978,8,8.8,"3,046,609","2,777,907","268,702"
1978,9,8.8,"3,050,662","2,782,349","268,313"
1978,10,8.8,"3,055,303","2,787,246","268,057"
1978,11,8.8,"3,059,184","2,791,472","267,712"
1978,12,8.7,"3,060,981","2,793,846","267,135"
1979,1,8.7,"3,060,721","2,794,018","266,703"
1979,2,8.7,"3,059,850","2,792,870","266,980"
1979,3,8.8,"3,059,972","2,791,753","268,219"
1979,4,8.8,"3,062,078","2,791,610","270,468"
1979,5,8.9,"3,065,998","2,792,887","273,111"
1979,6,9,"3,070,464","2,795,147","275,317"
1979,7,9,"3,073,507","2,797,639","275,868"
1979,8,8.9,"3,074,157","2,799,794","274,363"
1979,9,8.8,"3,072,885","2,801,319","271,566"
1979,10,8.7,"3,069,980","2,802,446","267,534"
1979,11,8.6,"3,065,829","2,802,856","262,973"
1979,12,8.5,"3,061,572","2,802,139","259,433"
1980,1,8.4,"3,057,685","2,800,066","257,619"
1980,2,8.4,"3,054,036","2,796,684","257,352"
1980,3,8.5,"3,050,761","2,792,627","258,134"
1980,4,8.5,"3,047,759","2,788,828","258,931"
1980,5,8.5,"3,045,449","2,786,078","259,371"
1980,6,8.5,"3,044,739","2,785,226","259,513"
1980,7,8.5,"3,045,538","2,786,196","259,342"
1980,8,8.5,"3,047,188","2,788,234","258,954"
