Date,Crime,Wind Speed,,-0.331495674
1/1/16,1351,7.61,,
1/2/16,1072,6.71,,
1/3/16,1068,7.83,,
1/4/16,1202,8.5,,
1/5/16,1143,5.14,,
1/6/16,1320,3.58,,
1/7/16,1392,2.46,,
1/8/16,1414,4.25,,
1/9/16,1328,8.05,,
1/10/16,1113,9.84,,
1/11/16,1340,10.51,,
1/12/16,1301,6.04,,
1/13/16,1257,9.84,,
1/14/16,1352,4.92,,
1/15/16,1417,5.14,,
1/16/16,1305,6.71,,
1/17/16,1180,5.59,,
1/18/16,1136,11.86,,
1/19/16,1244,10.96,,
1/20/16,1372,5.59,,
1/21/16,1362,6.04,,
1/22/16,1349,6.49,,
1/23/16,569,15.66,,
1/24/16,635,5.82,,
1/25/16,1067,3.36,,
1/26/16,1138,6.49,,
1/27/16,1337,6.71,,
1/28/16,1406,4.47,,
1/29/16,1261,7.83,,
1/30/16,1282,6.93,,
1/31/16,1122,5.14,,
2/1/16,1250,5.82,,
2/2/16,1446,3.58,,
2/3/16,1351,6.49,,
2/4/16,1425,5.82,,
2/5/16,1239,8.28,,
2/6/16,1214,5.59,,
2/7/16,1068,5.37,,
2/8/16,1161,10.51,,
2/9/16,1285,4.03,,
2/10/16,1376,5.82,,
2/11/16,1229,10.07,,
2/12/16,1245,6.71,,
2/13/16,1050,12.3,,
2/14/16,815,6.26,,
2/15/16,966,5.37,,
2/16/16,1121,7.83,,
2/17/16,1315,7.38,,
2/18/16,1251,7.16,,
2/19/16,1171,5.37,,
2/20/16,1217,7.38,,
2/21/16,1131,4.92,,
2/22/16,1347,5.14,,
2/23/16,1171,14.54,,
2/24/16,1202,10.51,,
2/25/16,1301,8.95,,
2/26/16,1310,8.72,,
2/27/16,1211,6.04,,
2/28/16,1047,7.38,,
2/29/16,1260,8.5,,
3/1/16,1279,7.61,,
3/2/16,1334,10.51,,
3/3/16,1350,5.82,,
3/4/16,1252,8.72,,
3/5/16,1174,4.25,,
3/6/16,1137,3.36,,
3/7/16,1255,7.83,,
3/8/16,1452,3.36,,
3/9/16,1412,2.24,,
3/10/16,1460,4.92,,
3/11/16,1442,6.04,,
3/12/16,1239,5.14,,
3/13/16,1132,3.58,,
3/14/16,1146,14.09,,
3/15/16,1412,5.37,,
3/16/16,1377,3.58,,
3/17/16,1298,4.92,,
3/18/16,1398,8.72,,
3/19/16,1275,5.14,,
3/20/16,1065,9.62,,
3/21/16,1217,8.05,,
3/22/16,1327,6.93,,
3/23/16,1372,6.04,,
3/24/16,1343,9.17,,
3/25/16,1269,3.8,,
3/26/16,1232,6.49,,
3/27/16,999,5.59,,
3/28/16,1233,10.07,,
3/29/16,1365,11.63,,
3/30/16,1349,5.37,,
3/31/16,1418,6.71,,
4/1/16,1406,6.71,,
4/2/16,1242,4.92,,
4/3/16,1069,12.75,,
4/4/16,1226,7.16,,
4/5/16,1212,8.28,,
4/6/16,1354,6.04,,
4/7/16,1370,6.93,,
4/8/16,1383,7.16,,
4/9/16,1302,6.49,,
4/10/16,1153,4.92,,
4/11/16,1417,6.93,,
4/12/16,1319,5.82,,
4/13/16,1480,4.47,,
4/14/16,1390,6.49,,
4/15/16,1473,3.8,,
4/16/16,1291,4.92,,
4/17/16,1183,2.91,,
4/18/16,1442,3.8,,
4/19/16,1373,7.61,,
4/20/16,1476,6.04,,
4/21/16,1472,5.59,,
4/22/16,1417,4.25,,
4/23/16,1326,7.16,,
4/24/16,1139,5.82,,
4/25/16,1354,4.03,,
